,,distance,0
rssi,count,1,825.0
rssi,count,2,1307.0
rssi,count,3,1097.0
rssi,count,4,1098.0
rssi,count,5,1004.0
rssi,count,6,1034.0
rssi,count,7,1055.0
rssi,count,8,837.0
rssi,count,9,1140.0
rssi,count,10,1466.0
rssi,mean,1,-41.723636363636366
rssi,mean,2,-46.819433817903594
rssi,mean,3,-48.17411121239745
rssi,mean,4,-52.35154826958106
rssi,mean,5,-53.03087649402391
rssi,mean,6,-46.88297872340426
rssi,mean,7,-52.8957345971564
rssi,mean,8,-55.821983273596175
rssi,mean,9,-56.175438596491226
rssi,mean,10,-62.31173260572988
rssi,std,1,0.7414472620256963
rssi,std,2,0.5516135186755688
rssi,std,3,0.479264147059859
rssi,std,4,1.4430237573280096
rssi,std,5,0.7734649859120728
rssi,std,6,0.5158104606335998
rssi,std,7,0.8649460643302466
rssi,std,8,1.013353136210305
rssi,std,9,1.4032798282226309
rssi,std,10,0.5408489087567582
rssi,min,1,-44.0
rssi,min,2,-49.0
rssi,min,3,-53.0
rssi,min,4,-56.0
rssi,min,5,-56.0
rssi,min,6,-51.0
rssi,min,7,-61.0
rssi,min,8,-60.0
rssi,min,9,-65.0
rssi,min,10,-66.0
rssi,25%,1,-42.0
rssi,25%,2,-47.0
rssi,25%,3,-48.0
rssi,25%,4,-53.0
rssi,25%,5,-53.0
rssi,25%,6,-47.0
rssi,25%,7,-53.0
rssi,25%,8,-57.0
rssi,25%,9,-57.0
rssi,25%,10,-63.0
rssi,50%,1,-42.0
rssi,50%,2,-47.0
rssi,50%,3,-48.0
rssi,50%,4,-53.0
rssi,50%,5,-53.0
rssi,50%,6,-47.0
rssi,50%,7,-53.0
rssi,50%,8,-56.0
rssi,50%,9,-56.0
rssi,50%,10,-62.0
rssi,75%,1,-41.0
rssi,75%,2,-47.0
rssi,75%,3,-48.0
rssi,75%,4,-51.0
rssi,75%,5,-53.0
rssi,75%,6,-47.0
rssi,75%,7,-53.0
rssi,75%,8,-55.0
rssi,75%,9,-55.0
rssi,75%,10,-62.0
rssi,max,1,-37.0
rssi,max,2,-40.0
rssi,max,3,-46.0
rssi,max,4,-40.0
rssi,max,5,-47.0
rssi,max,6,-45.0
rssi,max,7,-47.0
rssi,max,8,-53.0
rssi,max,9,-51.0
rssi,max,10,-61.0
rssi_normalized,count,1,825.0
rssi_normalized,count,2,1307.0
rssi_normalized,count,3,1097.0
rssi_normalized,count,4,1098.0
rssi_normalized,count,5,1004.0
rssi_normalized,count,6,1034.0
rssi_normalized,count,7,1055.0
rssi_normalized,count,8,837.0
rssi_normalized,count,9,1140.0
rssi_normalized,count,10,1466.0
rssi_normalized,mean,1,0.8371159874608152
rssi_normalized,mean,2,0.6613988338653933
rssi_normalized,mean,3,0.6146858202621569
rssi_normalized,mean,4,0.47063626656617064
rssi_normalized,mean,5,0.44721115537848627
rssi_normalized,mean,6,0.6592076302274394
rssi_normalized,mean,7,0.4518712207877107
rssi_normalized,mean,8,0.35096609401392515
rssi_normalized,mean,9,0.33877797943133714
rssi_normalized,mean,10,0.12718163428517684
rssi_normalized,std,1,0.025567146966403345
rssi_normalized,std,2,0.01902115581639889
rssi_normalized,std,3,0.016526349898615855
rssi_normalized,std,4,0.04975943990786239
rssi_normalized,std,5,0.026671206410761115
rssi_normalized,std,6,0.017786567608055127
rssi_normalized,std,7,0.029825726356215387
rssi_normalized,std,8,0.03494321159345878
rssi_normalized,std,9,0.048388959593883805
rssi_normalized,std,10,0.018649962370922812
rssi_normalized,min,1,0.7586206896551726
rssi_normalized,min,2,0.5862068965517242
rssi_normalized,min,3,0.44827586206896575
rssi_normalized,min,4,0.3448275862068968
rssi_normalized,min,5,0.3448275862068968
rssi_normalized,min,6,0.517241379310345
rssi_normalized,min,7,0.1724137931034484
rssi_normalized,min,8,0.2068965517241379
rssi_normalized,min,9,0.034482758620689946
rssi_normalized,min,10,0.0
rssi_normalized,25%,1,0.8275862068965518
rssi_normalized,25%,2,0.6551724137931036
rssi_normalized,25%,3,0.6206896551724139
rssi_normalized,25%,4,0.44827586206896575
rssi_normalized,25%,5,0.44827586206896575
rssi_normalized,25%,6,0.6551724137931036
rssi_normalized,25%,7,0.44827586206896575
rssi_normalized,25%,8,0.3103448275862071
rssi_normalized,25%,9,0.3103448275862071
rssi_normalized,25%,10,0.10344827586206895
rssi_normalized,50%,1,0.8275862068965518
rssi_normalized,50%,2,0.6551724137931036
rssi_normalized,50%,3,0.6206896551724139
rssi_normalized,50%,4,0.44827586206896575
rssi_normalized,50%,5,0.44827586206896575
rssi_normalized,50%,6,0.6551724137931036
rssi_normalized,50%,7,0.44827586206896575
rssi_normalized,50%,8,0.3448275862068968
rssi_normalized,50%,9,0.3448275862068968
rssi_normalized,50%,10,0.1379310344827589
rssi_normalized,75%,1,0.8620689655172415
rssi_normalized,75%,2,0.6551724137931036
rssi_normalized,75%,3,0.6206896551724139
rssi_normalized,75%,4,0.517241379310345
rssi_normalized,75%,5,0.44827586206896575
rssi_normalized,75%,6,0.6551724137931036
rssi_normalized,75%,7,0.44827586206896575
rssi_normalized,75%,8,0.3793103448275863
rssi_normalized,75%,9,0.3793103448275863
rssi_normalized,75%,10,0.1379310344827589
rssi_normalized,max,1,1.0000000000000002
rssi_normalized,max,2,0.896551724137931
rssi_normalized,max,3,0.6896551724137931
rssi_normalized,max,4,0.896551724137931
rssi_normalized,max,5,0.6551724137931036
rssi_normalized,max,6,0.7241379310344829
rssi_normalized,max,7,0.6551724137931036
rssi_normalized,max,8,0.44827586206896575
rssi_normalized,max,9,0.517241379310345
rssi_normalized,max,10,0.1724137931034484
